npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1942203187,"AETNA SPECIALTY PHARMACY, LLC",503 SUNPORT LANE,,ORLANDO,FL,328097874,4075136400,SR. PHARMACY OPS MGR,3336H0001X|3336S0011X,tier_1_primary_pharmacy,Y,Y,
1801899356,"TOWN DRUG OF HOLLYWOOD, INC",2730 HOLLYWOOD BLVD,,HOLLYWOOD,FL,330204808,9549218696,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1912900226,DNA PHARMACY SERVICES INC,"2151 S. HIGHWAY ALT. A1A, SUITE 1500",THREE PALMS CENTER,JUPITER,FL,33477,5617411191,PIC,333600000X|3336C0004X|3336M0002X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1962405225,DAVID B WINKLES,3818 HIGHWAY 90,,PACE,FL,325711014,8509947005,OWNER PHARMACIST,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1568466266,GRI-SAN INC,3450 NE JACKSONVILLE RD,,OCALA,FL,344792850,3527324655,OWNER PHARMACIST,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1730183310,INTRAMED INC,6950 CYPRESS RD STE 105,,PLANTATION,FL,333172361,8669990904,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1386649747,MEDISERV PHARMACY SERVICES LLC,5736 CLARK RD,,SARASOTA,FL,342333302,9419272811,CHIEF OPERATING OFFICER,333600000X,tier_1_primary_pharmacy,Y,Y,
1437154879,"THE PRESCRIPTION SHOP, INC",600 1ST AVE N STE 100,,SAINT PETERSBURG,FL,337013609,7278224546,PHARMACIST/MANAGER,333600000X|3336L0003X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1679578470,"AVEE, INC.",407 N BELCHER RD,,CLEARWATER,FL,337652607,7274500700,PRESIDENT CEO,333600000X,tier_1_primary_pharmacy,Y,Y,
1437154051,"PHARMACON, INC.",160 SW 12TH AVE,STE 101D,DEERFIELD BEACH,FL,334423114,9547250222,DIRECTOR,3336S0011X|3336L0003X,tier_2_secondary_pharmacy,N,Y,
