npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1801899356,"TOWN DRUG OF HOLLYWOOD, INC",2730 HOLLYWOOD BLVD,,HOLLYWOOD,FL,330204808,9549218696,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1912900226,DNA PHARMACY SERVICES INC,"2151 S. HIGHWAY ALT. A1A, SUITE 1500",THREE PALMS CENTER,JUPITER,FL,33477,5617411191,PIC,333600000X|3336C0004X|3336M0002X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1386649747,MEDISERV PHARMACY SERVICES LLC,5736 CLARK RD,,SARASOTA,FL,342333302,9419272811,CHIEF OPERATING OFFICER,333600000X,tier_1_primary_pharmacy,Y,Y,
1588669063,BAY STREET PHARMACY INC,7746 BAY ST,,SEBASTIAN,FL,329583427,7725892043,PRESIDENT,3336C0004X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1972508406,"SPECIALTY PHARMACY SERVICES, INC",800 E MELBOURNE AVE,STE B,MELBOURNE,FL,329015549,3219532004,PHARMACIST/ VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1568468932,OLSON DRUG CORPORATION,75 S TUTTLE AVE,,SARASOTA,FL,342376329,9413660090,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1184620213,ALPHAMEDS PHARMACY,487 E TENNESSEE ST,STE 2,TALLAHASSEE,FL,323017627,8509421992,OWNER MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1609872696,PREMIER PHARMACY LABS,8269 COMMERCIAL WAY,,WEEKI WACHEE,FL,346134511,3525974950,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1124024963,"MY PHARMACY, INC.",15043 S DIXIE HWY,,MIAMI,FL,331767930,3052382474,DIRECT OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1598762015,COMMCARE PHARMACY-FTL LLC,855 SW 78TH AVE,STE C100,PLANTATION,FL,333243223,9545686212,C.O.O.,333600000X,tier_1_primary_pharmacy,Y,Y,
1770580292,COMMCARE PHARMACY-WPB LLC,1689 FORUM PL,,WEST PALM BEACH,FL,334012303,5616150564,OFFICE MANAGER,333600000X|3336C0003X|3336S0011X,tier_1_primary_pharmacy,Y,Y,
1528065828,MGM PHARMACY & DISCOUNT CORP,2007 SW 8TH ST,,MIAMI,FL,331353317,3056319642,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1245237502,KELSON DRUG INC,3008 JEFFERSON ST,SUITE B,MARIANNA,FL,324462318,8505262839,"PRESIDENT, PHARMACY MANAGER",3336C0003X,tier_1_primary_pharmacy,Y,Y,
1972500130,CREATIVE PHARMACY SOLUTIONS EAST LLC,7779 STARKEY RD,,SEMINOLE,FL,337774346,7273819799,PRESIDENT/OWNER,3336C0003X|3336C0004X|333600000X,tier_1_primary_pharmacy,Y,Y,
1649277641,"MELROSE PHARMACY, INC.",8744 STATE ROAD 21,,MELROSE,FL,326668809,3524753919,PHARMACIST/OWNER,333600000X,tier_2_secondary_pharmacy,N,Y,
1023015831,SUNRISE PHARMACY & DISCOUNT,4254 W 12TH AVE,,HIALEAH,FL,330124108,7862350555,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1427056142,WINSHIPS PHARMACY INC,721 NORTHLAKE BLVD,,N PALM BEACH,FL,334085281,5618422444,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1326045097,RX SERVICES CORPORATION,2665 CLEVELAND AVE,#103,FORT MYERS,FL,339015850,2395612757,VICE PRESIDENT PHARMACIST,3336C0003X|3336C0004X|333600000X,tier_1_primary_pharmacy,Y,Y,
1275530180,"MCGAW RX, INC",5326 STEWART ST,,MILTON,FL,325704736,8506233211,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1376540294,MY PHARMACY OF BIRD ROAD INC,4000 SW 57TH AVE,,MIAMI,FL,331555318,3056668582,PRESIDENT,333600000X|3336C0004X,tier_2_secondary_pharmacy,N,Y,
1124026521,HEALTHLINK PHARMACY LLC,3301 W. WATER AVE,SUITE 101,TAMPA,FL,336142789,8138686800,MANAGING MBR/OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1710985544,RADIANCE PHARMACY INC.,110 CLEARWATER LARGO RD S,,LARGO,FL,337703233,7275889878,PHARAMCIST/OWNER,3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1710986575,HK PHARMACY INC,4133 UNIVERSITY BLVD S STE 1,,JACKSONVILLE,FL,322164350,9047372216,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1710986203,LATO DRUG COMPANY INC,4401 SHERIDAN ST,,HOLLYWOOD,FL,330213513,9549896524,PRESIDENT,3336C0004X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1790785293,TRELLES PHARMACY MANAGEMENT INC.,3501 RIGA BLVD,SUITE 300A,TAMPA,FL,336191333,8136621153,OWNER/PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1447250857,BELLEVIEW COMMUNITY PHARMACY,10762 SE US HIGHWAY 441,,BELLEVIEW,FL,344203805,3523474064,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
