npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1003819194,"ADVANCED INFUSION SYSTEMS, INC.",145 E DANA ST,SUITE A,MOUNTAIN VIEW,CA,940411507,6509616355,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1962405159,COUNTY OF HYDE OFFICE OF ACCOUNTANT,1151 MAIN STREET,,SWANQUARTER,NC,278850100,2529264200,HEALTH DIRECTOR,3336C0002X,tier_2_secondary_pharmacy,N,Y,
1508869694,I V SOLUTIONS INC,162 N MAIN ST,,OLD FORGE,PA,185181726,5704579201,PRESIDENT AND CEO,3336S0011X|3336H0001X,tier_1_primary_pharmacy,Y,Y,
1497758361,ACCURATE MEDICAL EQUIPMENT & SUPPLY CO INC,550 HEMPHILL ST,,FORT WORTH,TX,761042252,8178821111,PRESIDENT CEO,333600000X,tier_1_primary_pharmacy,Y,Y,
1679576466,COLUMBUS PRESCRIPTION WEST LLC,2849 W BROAD ST,,COLUMBUS,OH,432042643,6143510062,CHIEF PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1477556363,SOVEREIGN COVENANT PHARMACY LLC,145 N ANTRIM WAY,,GREENCASTLE,PA,172251403,7175972426,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1861495772,VEDASHRI LLC,931 MAIN ST,,PENNSBURG,PA,180731603,2156799700,OWNER,3336C0004X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1700889524,"BARRON CHAGRIN DRUG, INC.",23632 MERCANTILE RD,STE F,BEACHWOOD,OH,441225916,2163600500,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1366445827,WALTERS PHARMACY INC,401 N 17TH ST,SUITE 102,ALLENTOWN,PA,181045034,6104354706,OWNER,333600000X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1568465060,KAUP PHARMACY INC,102 NORTH WAYNE STREET,,FT RECOVERY,OH,458460605,4193752323,PRESIDENT,333600000X|3336C0004X|3336H0001X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1659374379,"PECOS STREET PHARMACY, INC.",2102 PECOS ST,STE 13,SAN ANGELO,TX,769013061,3259495381,PRESIDENT,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
