npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1962405159,COUNTY OF HYDE OFFICE OF ACCOUNTANT,1151 MAIN STREET,,SWANQUARTER,NC,278850100,2529264200,HEALTH DIRECTOR,3336C0002X,tier_2_secondary_pharmacy,N,Y,
1528060852,MEDICAL ARTS PHARMACY OF CUMBERLAND COUNTY,1047 MURCHISON RD,SUITE 106,FAYETTEVILLE,NC,283017028,9103239696,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1811990146,"PIKE'S PHARMACY, INC",2133 SHAMROCK DR,,CHARLOTTE,NC,282052132,7045632286,PHARMACIST OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1770587644,MEDICAL CENTER PHARMACY INC,805 S LONG DR,,ROCKINGHAM,NC,283794317,9109974471,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1528062403,MEDICAL PARK PHARMACY OF ROCKINGHAM INC,921 S LONG DR,STE 105,ROCKINGHAM,NC,283794874,9104173490,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1740284298,HICKS PHARMACY LLC,1072 N MAIN ST,STE 103,WALNUT COVE,NC,270529312,3365914345,OWNER,333600000X|3336C0003X,tier_2_secondary_pharmacy,N,Y,
1457356651,COUNTY OF BURKE,700 E PARKER RD,,MORGANTON,NC,286556762,8287649150,HEALTH DIRECTOR,3336C0002X,tier_2_secondary_pharmacy,N,Y,
1215932082,CHAIR CITY PHARMACY INCORPORATED,916 RANDOLPH ST STE C,,THOMASVILLE,NC,273605729,3364751888,VP AND SECRETARY,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1437154481,WENDELL DRUG CO. INC.,3430 WENDELL BLVD,,WENDELL,NC,275916925,9193658800,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1255336285,ZEBULON DRUG COMPANY INC,303 N ARENDELL AVE,,ZEBULON,NC,275972605,9192697481,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1366449282,NORTHERN HOSPITAL DISTRICT OF SURRY COUNTY,830 ROCKFORD ST,,MOUNT AIRY,NC,270305322,3367197112,"DIRECTOR, CBO",3336L0003X|3336C0003X|3336I0012X,tier_2_secondary_pharmacy,N,Y,
1659379972,MID-CAROLINA HOMECARE SPECIALISTS,600 AIRPORT BLVD,SUITE 500,MORRISVILLE,NC,275608489,9194659300,REIMBURSEMENT MANAGER,333600000X,tier_2_secondary_pharmacy,N,Y,
1134120017,ASHER-MCADAMS DRUG CO.,305 TROLLINGER ST,,BURLINGTON,NC,272152227,3362261619,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1871594622,COUNTY OF WAYNE,1560 CLINGMAN ST,,GOLDSBORO,NC,275342162,9197311000,MEDICAL RECORDS MANAGER,3336C0002X,tier_2_secondary_pharmacy,N,Y,
1366443988,OMNICARE OF CAROLINA,4901 CASWELL PL W,SUITE D,WILSON,NC,278938136,8007621419,BILLING MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1942201173,"FARMVILLE DISCOUNT DRUG, INC.",3708 N MAIN ST,,FARMVILLE,NC,278281465,2527532092,PRESIDENT,3336C0004X|3336H0001X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1558353110,BIRMINGHAM DRUG CO INC,27 W MAIN STREET,,HAMLET,NC,28345,9105823585,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1104818475,HEALTHWISE PHARMACY OF GREENVILLE INC,615B S MEMORIAL DR,,GREENVILLE,NC,278342856,2527520338,PRESIDENT,333600000X|3336C0004X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1255324380,"LOWRY DRUG COMPANY, INC.",750 HARTNESS RD,,STATESVILLE,NC,286773400,7048739032,VP,333600000X,tier_2_secondary_pharmacy,N,Y,
1104819143,CUMBERLAND COUNTY HOSPITAL SYSTEM INC,1638 OWEN DR,,FAYETTEVILLE,NC,283043424,9106157895,EXECUTIVE DIRECTOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1548253628,"BEST CARE PHARMACY OF CREEDMOOR, L.L.C.",1614 NC HIGHWAY 56,,CREEDMOOR,NC,275228297,9195290351,PHARMACIST/OWNER,333600000X,tier_2_secondary_pharmacy,N,Y,
1043203623,RESPIRATORY AT HOME PLUS,110 OAKCREST DR,,MARION,NC,287524976,8286598222,CEO,3336S0011X|333600000X,tier_2_secondary_pharmacy,N,Y,
1457344988,HALSEY DRUG LLC,5121 NC HIGHWAY 88 WEST,,WARRENSVILLE,NC,286939209,3363843900,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1043204902,COMMUNITY FAMILY PHARMACY,1194 WYKE RD,,SHELBY,NC,281504259,7044824457,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1205822475,LEON M MCLEAN AND STEVEN A MCLEAN INC,801 S MAIN ST,,LAURINBURG,NC,283524724,9102767210,VICE PRESIDENT OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1417943465,BEST CARE,202 E INDUSTRY DR,,OXFORD,NC,275654002,9196030101,PHARMACIST-MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
