npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1093718728,JOHN T. MATHER MEMORIAL HOSPITAL,75 N COUNTRY RD,,PORT JEFFERSON,NY,117772119,6314731320,EVP & CFO,333600000X|3336C0003X,tier_2_secondary_pharmacy,N,Y,
1275536864,CALJEB PHARMACY CORP,747 MONTAUK HIGHWAY,,PATCHOGUE,NY,11772,6316542444,CEO,333600000X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1376546820,CRESETTI DRUG CORP,454 5TH AVE,,BROOKLYN,NY,112154003,7187680600,PHARMACIST,3336L0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1821091372,TOMASSETTI DRUG CORP,120 7TH AVE,,BROOKLYN,NY,112151372,7188571600,PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1396748810,MAPLE AVE PHARMACY INC,48 BAKERTOWN ROAD,SUITE 101,MONROE,NY,10950,8457741464,MANAGER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1992708325,IJAK-UYIRE INC,77 02 21ST AVE,,JACKSON HEIGHTS,NY,113701219,7187286878,SUPERVISING PHARMACIST,3336L0003X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1316940745,EDWARD JOHN NOBLE HOSPITAL OF GOUVERNEUR NY,77 W BARNEY ST,,GOUVERNEUR,NY,136421040,3155359244,PATIENT ACCOUNTING SUPERVISOR,3336C0002X|333600000X,tier_2_secondary_pharmacy,N,Y,
1689678138,JIM & PHIL'S FAMILY PHARMACY LTD.,6109 5TH AVE,,BROOKLYN,NY,112204609,7184920900,"REGISTERED PHARRMACIST, & CEO",333600000X,tier_1_primary_pharmacy,Y,Y,
1053315515,AHORRE DRUG CORP,746 10TH AVE,,NEW YORK,NY,100197000,2125816010,PRESSIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1932104346,METRO DRUGS INC,9531 SUTPHIN BLVD,,JAMAICA,NY,114354505,7185225560,OWNER,3336L0003X|3336M0002X|3336S0011X|3336C0003X|3336C0004X|3336H0001X|333600000X,tier_1_primary_pharmacy,Y,Y,
1467457705,"ACRX, LLC",973 MCLEAN AVE,,YONKERS,NY,107044108,9142378821,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1568467710,"HOSP. RX, INC.",759 WASHINGTON AVE,,BROOKLYN,NY,112384504,7186383800,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1689679847,THRIFTWAY CHURCH AVE. DRUG CORP.,1621 CHURCH AVE,,BROOKLYN,NY,112262615,7182824600,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1295730455,STM RX INC,524 NOSTRAND AVE,,BROOKLYN,NY,112162012,7182303009,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1518962786,"KINGS-THRIFTWAY DRUGS, INC.",1909 KINGS HWY,,BROOKLYN,NY,112291313,7183393500,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1104821370,STJ RX INC.,720 CLASSON AVE,,BROOKLYN,NY,112384231,7183991800,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1508861758,VANDERVEER PHARMACY INC.,1887 NOSTRAND AVE,,BROOKLYN,NY,112267917,7182822927,CORPORATE SECTRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1376548545,THRIFTWAY FLATBUSH AVE. DRUG CORP.,542 FLATBUSH AVE,,BROOKLYN,NY,112254804,7182849800,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1184629354,SBC RX INC.,120 RICHARDS ST,,BROOKLYN,NY,112311635,7188520269,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1619972288,ROBERT JACOBSON SURGICAL PHARMACY,359 E MAIN ST,,MOUNT KISCO,NY,105493028,9142414887,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1174520779,HOWARD BEACH APOTHECARY INC,158-40 CROSS BAY BLVD,,HOWARD BEACH,NY,114143136,7187384343,OWNER AND SUP PHARMACIST,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1124025770,JD RX INC,347 TERRY RD,,SMITHTOWN,NY,117875510,6313614100,"SEC,TSR,SUPERVISING RPH",333600000X,tier_2_secondary_pharmacy,N,Y,
1053318675,"CAMP ROAD PHARMACY, INC.",503 SUNSET DR,,HAMBURG,NY,140754231,7166491650,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1932106366,THRIFTWAY FOSTER AVE. DRUG CORP,1717 FOSTER AVE,,BROOKLYN,NY,112301809,7187241717,CORP. SECY,333600000X,tier_1_primary_pharmacy,Y,Y,
1225035538,DEDRICK'S PHARMACY INC.,86 N FRONT ST,,KINGSTON,NY,124013832,8453388000,OWNER,3336L0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1871590182,NEW PALTZ PHARMACY INC,190 MAIN ST,,NEW PALTZ,NY,12561,8452550310,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1053318006,METROPOLITAN PHARMACY II INC,10311 METROPOLITAN AVE,,FOREST HILLS,NY,113756733,7182636151,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1386642973,"BAY RIDGE PEOPLE'S PHARMACY, INC",7517 3RD AVE,,BROOKLYN,NY,112093168,7187452660,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1407854623,EPPY DRUGS INC,116 07 METROPOLITAN AVE,,KEW GARDENS,NY,114181096,7184412345,PRES,3336C0003X|3336L0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1366440414,CARY'S PHARMACY INC,105 MAIN ST,,DOBBS FERRY,NY,105221601,9146930008,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1245239029,AMBULATORY PHARMACEUTICAL SERVICES,85 EXECUTIVE BLVD,SUITE A,ELMSFORD,NY,105231326,9147892901,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1790785459,"RYE BEACH PHARMACY, INC",464 FOREST AVE,,RYE,NY,105803645,9149670856,PRESIDENT,3336C0004X|3336S0011X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1386644987,"BRAUNAGEL & BRAUNAGEL, INC.",12 SUSSEX ST,,PORT JERVIS,NY,127712421,8458568314,PRESIDENT,333600000X|3336C0004X|3336L0003X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1356341960,BRIGHTON PHARMACY INC,701 BRIGHTON BEACH AVE,,BROOKLYN,NY,112356413,7187431800,PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1356341689,ADLIB PHARMACY CORP,21519 73RD AVE,,OAKLAND GARDENS,NY,113642928,7184288200,SUPERVISING PHCIST,3336C0004X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1144220427,DELMAR DRUGS INC,589 AVENUE Z,,BROOKLYN,NY,112236346,7186485999,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1700887411,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,1275 YORK AVE,,NEW YORK,NY,100656007,2126392000,COO,333600000X|3336C0003X,tier_2_secondary_pharmacy,N,Y,
1114928876,HEALTH PLUS PHARMACY INC,6605 BAY PKWY,,BROOKLYN,NY,112043934,7182320810,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1811998107,NEIGHBOR CARE PHARMACY INC.,2315 65TH ST,,BROOKLYN,NY,112044066,7183364772,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1063413185,405 86TH PHARMACY INC,405 86TH ST,,BROOKLYN,NY,112094707,9178489172,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1710989553,HASTINGS DRUG CORP,2061 ATLANTIC AVENUE,,BROOKLYN,NY,112333202,7184855095,SUPERVISING PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1932101409,VLS ALLEON DRUGS INC,6823 FORT HAMILTON PKWY,,BROOKLYN,NY,112195856,7187450733,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1497757082,ZIVE PHARMACY,811 LYDIG AVE,,BRONX,NY,104622105,7188246060,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1467444257,NEW YORK SURGICAL SUPPLY INC,6114 RIVERDALE AVE,,BRONX,NY,104711009,7188847343,PRES,333600000X,tier_1_primary_pharmacy,Y,Y,
1215929146,NIHAR CORP,850 AMSTERDAM AVE,,NEW YORK,NY,100255170,2126780084,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1275525081,PRESCRIPTION AND VITAMIN WAREHOUSE INC.,18232 HILLSIDE AVE,,JAMAICA,NY,114324837,7184642400,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1063404887,GARR PHARMACY CORP,531 CHURCH AVE,,BROOKLYN,NY,112182409,7184365501,PRESIDENT PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1790777522,"S AND M DRUGS, INC.",8912 3RD AVE,,BROOKLYN,NY,112095706,7188361400,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1962494617,L & M PHARMACY INC,53 N BROADWAY,,HICKSVILLE,NY,118012901,5169311099,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1881687069,SHRI DRUG INC,312 RALPH AVE,,BROOKLYN,NY,112333022,7187746800,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1992798144,HARPELL CHEMISTS INC,1265 150TH ST,,WHITESTONE,NY,113571752,7187677868,PRESIDENT,333600000X|3336L0003X|3336S0011X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1700879822,K & G PHARMACY INC,2434 JEROME AVE,,BRONX,NY,104686401,7182202014,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1588657688,CAREMARK SRX INC,1220 MORRIS AVE,,BRONX,NY,104563117,7182932233,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1619960093,NU-ERA PHARMACEUTICAL INC,454 E FORDHAM RD,,BRONX,NY,104585108,7189336755,SUP PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1811981210,INSTITUTIONAL PHARMACY SERVICES INC,89 RIDGELAND MNR,2ND FLOOR,RYE,NY,105803641,9149670856,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1659365849,CONFUCIUS PHARMACY INC,7 BOWERY STREET,STORE #A-104,NEW YORK,NY,100026702,2129664420,CEO,333600000X,tier_1_primary_pharmacy,Y,Y,
1841284957,MANNINGS PHARMACY CORPORATION,"13-17 ELIZABETH ST, UNIT 118",,NEW YORK,NY,100134803,2129416480,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1861486979,MANNINGS 8TH AVE INC,6402 8TH AVE,G103,BROOKLYN,NY,112204720,7182383850,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1730173774,ALITONS MANAGED CARE PHARMACY INC,34 38 BALL ST,,PORT JERVIS,NY,12771,8458564120,PRESIDENT,3336M0003X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1003800871,LOCUST VALLEY CHEMISTS,60 FOREST AVE,,LOCUST VALLEY,NY,115601714,5166569090,SUPERVISING PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1538153200,JEFFERSON VALLEY PHARMACY INC,3693 HILL BLVD,,JEFFERSON VALLEY,NY,10535,9149626553,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1932193612,PUTNAM VALLEY PHARMACY INC,11 PEEKSKILL HOLLOW RD,,PUTNAM VALLEY,NY,105793200,8455286400,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1033104195,RAYSOL DRUGS INC,1870 LEXINGTON AVE,,NEW YORK,NY,100292003,2123482117,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1598750457,FULTON COUNTY RHCF PHARMACY,847 COUNTY HIGHWAY 122,,GLOVERSVILLE,NY,120786413,5187733471,SUPERVISING PHARMACIST,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1881689685,ROBBINS DRUG AND SURGICAL CO INC,128 GRAND ST,,CROTON ON HUDSON,NY,105202307,9142715000,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1942295746,"POINT PHARMACY,LLC.",900 HUNTS POINT AVE,,BRONX,NY,104745402,7183283784,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1275528929,TLC PHARMACY INC,1509 STATE ST,,WATERTOWN,NY,136013517,3157861746,PRES,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1629063367,B.O.P PHARMACY INC.,135-02 ROOSEVELT AVENUE,,FLUSHING,NY,113545343,7183596333,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1699760298,BOLTONS PHARMACY INC,128 W MAIN ST,,WATERTOWN,NY,136011989,3157825961,REGISTERED PHAMACIST,333600000X|3336L0003X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1700872264,ASENCIO PHARMACY INC,154 E 174TH ST,,BRONX,NY,104576904,7182992416,SUPERVISING PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1285620765,SUN PHARMA INC,1790 RANDALL AVE,,BRONX,NY,104733629,7188932400,PHARMACY MANAGER / PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1659367415,"ALDAV PHARMACY, INC",749 OCEAN PKWY,,BROOKLYN,NY,112307813,7187242245,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1972599835,A & S PHARMACY INC,2201 BATH AVE,,BROOKLYN,NY,112145603,7183720797,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1639165459,"DRAGONFLY HEALTH RX NY, LLC",75 NASSAU TERMINAL RD STE 101,,NEW HYDE PARK,NY,110404927,5162801000,CHIEF FINANCIAL OFFICER,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1053308684,"MARTIN DRUGS OF RIVERHEAD,INC",849 OLD COUNTRY RD,,RIVERHEAD,NY,119012106,6317270550,OWNER PRES,3336L0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1427045061,PILGRIM PHARMACY INC,2941 WESTCHESTER AVE,,BRONX,NY,104614534,7188280498,TREASURER AND OWNER,333600000X|3336L0003X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1457348005,ROCKAWAY DRUGS INC.,194 BEACH 116TH ST,,ROCKAWAY PARK,NY,116942417,7183180300,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1427045913,RAM THAKUR ENTERPRISE INC.,88-20B VAN WYCK EXPY,,RICHMOND HILL,NY,114182831,7186580012,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1942297247,RO PAUL DRUG CORP,185 12 HILLSIDE AVE,,JAMAICA,NY,114324860,7185261121,PRES RPH CF,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1992792121,FIRO INC,1418 WYTHE PL,,BRONX,NY,104526904,7185904242,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1457348708,RUTOWSKI OF ALDEN INC,13203 BROADWAY ST,,ALDEN,NY,140041312,7169379818,PRESIDENT,3336L0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1578550729,MOMS PHARMACY INC,45 MELVILLE PARK RD,,MELVILLE,NY,117473109,6315476520,"SR VP, CFO",3336L0003X|3336S0011X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1174510192,"SRI PHARMACY, INC",2109 NOSTRAND AVE,,BROOKLYN,NY,112103001,7184213600,PRESIDENT/ PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1699762617,GREENE VAN PHARMACY CORP,94 GREENE AVE,,BROOKLYN,NY,112381011,7187830890,VICE-PRESIDENT,3336L0003X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1316934342,CONCOURSE DRUGS INC.,3137 GRAND CONCOURSE,,BRONX,NY,104681401,7187338528,SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1669469698,BRONX PRESCRIPTION CENTER SOUTH INC,70 E 161ST ST,,BRONX,NY,104512207,7186651163,SUPERVISING PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1366439317,CITY ISLAND PHARMACY INC,290 CITY ISLAND AVE,,BRONX,NY,104641433,7188853053,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1033106992,JOST PHARMACY INC,3601 QUENTIN RD,,BROOKLYN,NY,112344203,7183393110,VICE PRESIDENT,3336C0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1083601876,LEMBERG'S PHARMACY INC.,191 NEPTUNE AVE,,BROOKLYN,NY,112356368,7183684336,PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1114915998,EVE PHARMACY INC.,2823 CONEY ISLAND AVE,,BROOKLYN,NY,112355015,7187438585,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1598753105,JND PHARMACY INC,800 ROUTE 82,STE A BLDG 5,HOPEWELL JUNCTION,NY,125337371,8452237858,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1245228808,MARPAL DRUG,306 8TH AVE,,NEW YORK,NY,100014802,2122422587,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1821086497,JOU PHARMACY INC,1100 CONEY ISLAND AVE,,BROOKLYN,NY,112302342,7184344744,SUPERVISING PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1487642062,FAMILY CARE PHARMACY INC,995 ROUTE 22,,BREWSTER,NY,105091526,8452792931,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1316935851,"CENTRAL NEW YORK INFUSION SERVICES, LLC",333 BUTTERNUT DR,SUITE 102,DEWITT,NY,132141803,3154247027,CHIEF OPERATING OFFICER,3336S0011X|3336H0001X,tier_1_primary_pharmacy,Y,Y,
1871581298,MIL RUE CHEMISTS INC,6687 FRESH POND RD,,RIDGEWOOD,NY,113853948,7188213271,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1831187202,RLJ PHARMACY INC,294 KATONAH AVE,,KATONAH,NY,105362148,9142323200,SUPV PHCIST,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1437147717,"MARION PHARMACY, INC.",3803 SOUTH MAIN ST.,,MARION,NY,14505,3159265636,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1710975198,ALISONS PHARMACY INC,12 BOWERY,,NEW YORK,NY,100135182,2122277065,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1588652796,EVE AND R PHARMACY INC.,170 AVENUE U,,BROOKLYN,NY,112233740,7189460101,V.PRES,333600000X,tier_1_primary_pharmacy,Y,Y,
1811985161,CONDO PHARMACY INC,28 MONTCALM AVE,,PLATTSBURGH,NY,129011533,5185633400,"VICE PRESIDENT,AO",333600000X|3336C0002X|3336C0004X|3336L0003X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1659369783,"5TH AVE DRUG, INC",1805 5TH AVE,SUITE B,BAY SHORE,NY,117061761,6312314960,PRESIDENT,333600000X,tier_2_secondary_pharmacy,N,Y,
1528057452,L & W CHEMISTS INC.,25 SOUTHDOWN RD,,HUNTINGTON,NY,117432538,6314276262,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1386632321,THIS WAY PHARMACY INC,2712 AVENUE U,,BROOKLYN,NY,112295052,7187697403,V.PRES.,333600000X,tier_1_primary_pharmacy,Y,Y,
1447249362,BEENA 1 INC,67 JAMES P.KELLY WAY,,MIDDLETOWN,NY,109406948,8453412750,PHARMACIST OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1730178526,WOODROW PHARMACY LTD,645 ROSSVILLE AVE,,STATEN ISLAND,NY,103091752,7189672955,PRESIDENT AND OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1144219734,RED HOOK PHARMACY,376 VAN BRUNT ST,,BROOKLYN,NY,112311235,7187970200,SUP PHARM,3336C0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1508855990,ETBA PHARMACY INC.,530 E 138TH ST,,BRONX,NY,104544906,7186652018,PHARMACIST/MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1356330740,PL PHARMACY INC,6902 3RD AVE,,BROOKLYN,NY,112091305,7182382444,VP,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1891784195,ALL AMERICAN DRUGGIST INC,1101 BRIGHTON BEACH AVE,,BROOKLYN,NY,112355558,7188912801,SUP PHARM,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1366431603,JEROME PHARMACY INC,3399 JEROME AVE,,BRONX,NY,104671003,7183242900,MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1033108311,"STARRETT CITY PHARMACY, LLC",1110 PENNSYLVANIA AVE,,BROOKLYN,NY,112079061,7182578777,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1891784948,"YMGA PHARMACY SERVICES, CORP",8510 3RD AVE,,BROOKLYN,NY,112094610,7186809855,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1265421390,D&V PHARMACY CORPORATION,3401 AVENUE H,,BROOKLYN,NY,112103350,7188593000,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1285624015,"RLT PHARMACY, INC.",671 YONKERS AVE,,YONKERS,NY,107042621,9149650686,SUPERVISING PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1417947300,CITY DRUGS INC,422 CHURCH AVE,,BROOKLYN,NY,112183108,7186862727,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1164412953,M & M PHARMACY LLC,10104 QUEENS BLVD,,FOREST HILLS,NY,113752749,7189978200,PHARMASICT,333600000X,tier_1_primary_pharmacy,Y,Y,
1376533083,ALLERTON PARK PHARMACY INC,645 ALLERTON AVE,,BRONX,NY,104677403,7188810555,PRES,333600000X,tier_1_primary_pharmacy,Y,Y,
1457341166,URBAN CHEMISTS INC,1073 SOUTHERN BLVD,,BRONX,NY,104592417,7183281062,PRES,333600000X,tier_1_primary_pharmacy,Y,Y,
1801886510,HEALTH COUNCIL PHARMACY,781 E 142ND ST,,BRONX,NY,104541723,7189931400,PRES,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1659361277,"TOTAL CARE PHARMACY BX, INC",1721 CROSBY AVE,,BRONX,NY,104614901,7188239300,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1669462263,DW VOGHT INC,26 CHURCH ST,,CANAJOHARIE,NY,133171165,5186738086,PRES,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1700876075,ST MARY PHARMACY INC,9720 4TH AVE,,BROOKLYN,NY,112098101,7189212525,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1407846785,E.JEROME PHARMACY INC,1 E 183RD ST,,BRONX,NY,104531242,7183642248,PRES,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1861482101,ISLAND CHEMISTS INC,353 NEWBRIDGE RD,,EAST MEADOW,NY,115544120,5167850120,PRESIDENT,3336S0011X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1699766535,C K PHARMACY INC,4213 MAIN ST,,FLUSHING,NY,113553855,7185398999,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1447241294,MANER PRESCRIPTION CENTER INC,7311 3RD AVE,,BROOKLYN,NY,11209,7187489300,PIC,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1962493452,MAHOPAC PHARMACY INC.,936 S LAKE BLVD,,MAHOPAC,NY,105413242,8456285600,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1043201742,SLOCUM-DICKSON PHARMACY INC,1729 BURRSTONE RD,STE 201,NEW HARTFORD,NY,134131001,3157981724,DIRECTOR OF PHARMACY,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1619968039,MELBOURNE CHEMISTS INC.,2021 GRAND CONCOURSE,,BRONX,NY,104534304,7182992800,VP,333600000X,tier_1_primary_pharmacy,Y,Y,
1699766121,V.G.H. PHARMACY INC.,1454 MYRTLE AVE,,BROOKLYN,NY,112375102,7184536200,SUPERVISING PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1902897259,"ELM PHARMACY, INC.",1651 CONEY ISLAND AVE,,BROOKLYN,NY,112305849,7183368300,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1629069976,LGDK LLC,752 SAINT NICHOLAS AVE,,NEW YORK,NY,100314002,2122818300,MEMBER LLC,333600000X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1407847635,"LERIN DRUG CO, INC",501 W 113TH ST,,NEW YORK,NY,100258073,2126780636,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1750362992,EXPRESS DRUG STORE INC,1408 AVENUE J,,BROOKLYN,NY,112303702,7186775800,VP,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1043291057,A.Y. PHARMACY INC.,2070 BATH AVE,,BROOKLYN,NY,112144904,7183728795,PRESIDENT/PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1821079617,KMN PHARMACY CORP,255 E GUN HILL RD,,BRONX,NY,104672109,7186542200,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
