npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1275536864,CALJEB PHARMACY CORP,747 MONTAUK HIGHWAY,,PATCHOGUE,NY,11772,6316542444,CEO,333600000X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1376546820,CRESETTI DRUG CORP,454 5TH AVE,,BROOKLYN,NY,112154003,7187680600,PHARMACIST,3336L0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1821091372,TOMASSETTI DRUG CORP,120 7TH AVE,,BROOKLYN,NY,112151372,7188571600,PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1396748810,MAPLE AVE PHARMACY INC,48 BAKERTOWN ROAD,SUITE 101,MONROE,NY,10950,8457741464,MANAGER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1689678138,JIM & PHIL'S FAMILY PHARMACY LTD.,6109 5TH AVE,,BROOKLYN,NY,112204609,7184920900,"REGISTERED PHARRMACIST, & CEO",333600000X,tier_1_primary_pharmacy,Y,Y,
1053315515,AHORRE DRUG CORP,746 10TH AVE,,NEW YORK,NY,100197000,2125816010,PRESSIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1568467710,"HOSP. RX, INC.",759 WASHINGTON AVE,,BROOKLYN,NY,112384504,7186383800,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1689679847,THRIFTWAY CHURCH AVE. DRUG CORP.,1621 CHURCH AVE,,BROOKLYN,NY,112262615,7182824600,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1295730455,STM RX INC,524 NOSTRAND AVE,,BROOKLYN,NY,112162012,7182303009,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1104821370,STJ RX INC.,720 CLASSON AVE,,BROOKLYN,NY,112384231,7183991800,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1508861758,VANDERVEER PHARMACY INC.,1887 NOSTRAND AVE,,BROOKLYN,NY,112267917,7182822927,CORPORATE SECTRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1376548545,THRIFTWAY FLATBUSH AVE. DRUG CORP.,542 FLATBUSH AVE,,BROOKLYN,NY,112254804,7182849800,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1184629354,SBC RX INC.,120 RICHARDS ST,,BROOKLYN,NY,112311635,7188520269,CORPORATE SECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1619972288,ROBERT JACOBSON SURGICAL PHARMACY,359 E MAIN ST,,MOUNT KISCO,NY,105493028,9142414887,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1174520779,HOWARD BEACH APOTHECARY INC,158-40 CROSS BAY BLVD,,HOWARD BEACH,NY,114143136,7187384343,OWNER AND SUP PHARMACIST,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1124025770,JD RX INC,347 TERRY RD,,SMITHTOWN,NY,117875510,6313614100,"SEC,TSR,SUPERVISING RPH",333600000X,tier_2_secondary_pharmacy,N,Y,
1053318675,"CAMP ROAD PHARMACY, INC.",503 SUNSET DR,,HAMBURG,NY,140754231,7166491650,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1932106366,THRIFTWAY FOSTER AVE. DRUG CORP,1717 FOSTER AVE,,BROOKLYN,NY,112301809,7187241717,CORP. SECY,333600000X,tier_1_primary_pharmacy,Y,Y,
1225035538,DEDRICK'S PHARMACY INC.,86 N FRONT ST,,KINGSTON,NY,124013832,8453388000,OWNER,3336L0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1871590182,NEW PALTZ PHARMACY INC,190 MAIN ST,,NEW PALTZ,NY,12561,8452550310,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1053318006,METROPOLITAN PHARMACY II INC,10311 METROPOLITAN AVE,,FOREST HILLS,NY,113756733,7182636151,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1386642973,"BAY RIDGE PEOPLE'S PHARMACY, INC",7517 3RD AVE,,BROOKLYN,NY,112093168,7187452660,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1366440414,CARY'S PHARMACY INC,105 MAIN ST,,DOBBS FERRY,NY,105221601,9146930008,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1790785459,"RYE BEACH PHARMACY, INC",464 FOREST AVE,,RYE,NY,105803645,9149670856,PRESIDENT,3336C0004X|3336S0011X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1356341960,BRIGHTON PHARMACY INC,701 BRIGHTON BEACH AVE,,BROOKLYN,NY,112356413,7187431800,PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1356341689,ADLIB PHARMACY CORP,21519 73RD AVE,,OAKLAND GARDENS,NY,113642928,7184288200,SUPERVISING PHCIST,3336C0004X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1114928876,HEALTH PLUS PHARMACY INC,6605 BAY PKWY,,BROOKLYN,NY,112043934,7182320810,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1811998107,NEIGHBOR CARE PHARMACY INC.,2315 65TH ST,,BROOKLYN,NY,112044066,7183364772,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1063413185,405 86TH PHARMACY INC,405 86TH ST,,BROOKLYN,NY,112094707,9178489172,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1710989553,HASTINGS DRUG CORP,2061 ATLANTIC AVENUE,,BROOKLYN,NY,112333202,7184855095,SUPERVISING PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1497757082,ZIVE PHARMACY,811 LYDIG AVE,,BRONX,NY,104622105,7188246060,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1063404887,GARR PHARMACY CORP,531 CHURCH AVE,,BROOKLYN,NY,112182409,7184365501,PRESIDENT PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1962494617,L & M PHARMACY INC,53 N BROADWAY,,HICKSVILLE,NY,118012901,5169311099,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1881687069,SHRI DRUG INC,312 RALPH AVE,,BROOKLYN,NY,112333022,7187746800,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1700879822,K & G PHARMACY INC,2434 JEROME AVE,,BRONX,NY,104686401,7182202014,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1659365849,CONFUCIUS PHARMACY INC,7 BOWERY STREET,STORE #A-104,NEW YORK,NY,100026702,2129664420,CEO,333600000X,tier_1_primary_pharmacy,Y,Y,
1841284957,MANNINGS PHARMACY CORPORATION,"13-17 ELIZABETH ST, UNIT 118",,NEW YORK,NY,100134803,2129416480,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1538153200,JEFFERSON VALLEY PHARMACY INC,3693 HILL BLVD,,JEFFERSON VALLEY,NY,10535,9149626553,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1932193612,PUTNAM VALLEY PHARMACY INC,11 PEEKSKILL HOLLOW RD,,PUTNAM VALLEY,NY,105793200,8455286400,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1881689685,ROBBINS DRUG AND SURGICAL CO INC,128 GRAND ST,,CROTON ON HUDSON,NY,105202307,9142715000,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1942295746,"POINT PHARMACY,LLC.",900 HUNTS POINT AVE,,BRONX,NY,104745402,7183283784,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1275528929,TLC PHARMACY INC,1509 STATE ST,,WATERTOWN,NY,136013517,3157861746,PRES,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1629063367,B.O.P PHARMACY INC.,135-02 ROOSEVELT AVENUE,,FLUSHING,NY,113545343,7183596333,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1699760298,BOLTONS PHARMACY INC,128 W MAIN ST,,WATERTOWN,NY,136011989,3157825961,REGISTERED PHAMACIST,333600000X|3336L0003X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1700872264,ASENCIO PHARMACY INC,154 E 174TH ST,,BRONX,NY,104576904,7182992416,SUPERVISING PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1659367415,"ALDAV PHARMACY, INC",749 OCEAN PKWY,,BROOKLYN,NY,112307813,7187242245,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
