npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1679576466,COLUMBUS PRESCRIPTION WEST LLC,2849 W BROAD ST,,COLUMBUS,OH,432042643,6143510062,CHIEF PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1700889524,"BARRON CHAGRIN DRUG, INC.",23632 MERCANTILE RD,STE F,BEACHWOOD,OH,441225916,2163600500,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1568465060,KAUP PHARMACY INC,102 NORTH WAYNE STREET,,FT RECOVERY,OH,458460605,4193752323,PRESIDENT,333600000X|3336C0004X|3336H0001X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1972506582,"WEYRAUCH'S PHARMACY, LLC",4959 KIDRON RD,,KIDRON,OH,446360231,3308570115,MANAGING MEMBER,333600000X,tier_1_primary_pharmacy,Y,Y,
1326041898,HEALTHMED PHARMACY,2343 CLEVELAND AVE,,COLUMBUS,OH,432111611,6142635052,MANAGER,333600000X,tier_2_secondary_pharmacy,N,Y,
1134122609,"HEALTHMED PHARMACY WEST,LLC",2800 W BROAD ST,,COLUMBUS,OH,432042641,6142768500,MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1871596460,"PMC OHIO, LLC",24165 DETROIT ROAD,,WESTLAKE,OH,44145,4406177646,VICE PRESIDENT & SECRETARY,3336L0003X,tier_1_primary_pharmacy,Y,Y,
1831191139,"STAKER'S SERVICE DRUGS,INC",826 CHILLICOTHE ST,,PORTSMOUTH,OH,456624028,7403531135,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1376545657,REMEDI SENIORCARE OF OHIO LLC,962 S DORSET RD,,TROY,OH,453734705,8002324239,VP STRATEGIC SOURCING,333600000X|3336L0003X,tier_2_secondary_pharmacy,N,Y,
1093717043,MEDICINE STORE,231 N HIGH ST,,HILLSBORO,OH,451331128,9373931996,PHARMACIST/OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1144224049,"DAVIES PHARMACY, INC",2915 TUSCARAWAS ST W,,CANTON,OH,447084607,3304545151,OWNER PHARMACIST,3336C0004X|333600000X,tier_1_primary_pharmacy,Y,Y,
1265436000,ADVANCED INFUSION SERVICES LTD,160 OPPORTUNITY PKWY,,AKRON,OH,443072211,3309723311,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1134123979,"SBH MEDICAL, LTD",7654 CROSSWOODS DR,,COLUMBUS,OH,432354621,6148476007,GENERAL MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1942204581,CENTER PHARMACY INC,447 MAIN ST,,WELLSVILLE,OH,439681685,3305321555,OWNER AND PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1265436661,"HILLCREST ATRIUM PHARMACY, INC",6770 MAYFIELD RD,,MAYFIELD HTS,OH,441242299,4406051611,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1023014255,CORNELLS PHARMACY LLC,140 MANSFIELD AVE,,SHELBY,OH,448751833,4193472033,MANAGER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1205833316,ACCUSCRIPTS PHARMACY LLC,24340 SPERRY DR,,WESTLAKE,OH,441451565,4402505400,PRESIDENT,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1992702963,BREWSERS ATHLETIC CLUB INC,849 HARMON AVE,SUITE B,COLUMBUS,OH,432232411,6142911677,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1700883741,CHILDREN'S HOME CARE OF DAYTON,18 CHILDRENS PLZ,,DAYTON,OH,454041816,9376414663,C.F.O.,3336C0004X|3336H0001X,tier_1_primary_pharmacy,Y,Y,
1285631069,"FORUM HEALTH PHARMACY SERVICES CO., INC.",1915 BELMONT AVE,SUITE 4,YOUNGSTOWN,OH,445041132,3308842190,COO,333600000X,tier_2_secondary_pharmacy,N,Y,
1033117510,"MAPLE HILL, INC.",4584 COLUMBUS RD,,CENTERBURG,OH,430119401,7406257626,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1821096314,"FOSTERS PHARMACY, INC.",207 W HIGH ST,,MOUNT VERNON,OH,430502427,7403920911,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1063410504,SKILLED CARE PHARMACY LLC,6175 HI TEK COURT,,MASON,OH,45040,5134597455,PRESIDENT,3336L0003X,tier_1_primary_pharmacy,Y,Y,
1902804206,"HEALTH CARE SERVICES, INC",7642 PRODUCTION DR,,CINCINNATI,OH,452373209,5137618100,GM,333600000X,tier_2_secondary_pharmacy,N,Y,
1336148949,INNOVATIVERX NORTH OHIO INC,5930 MAYFAIR RD,,NORTH CANTON,OH,447201549,8002740176,OFFICE OPERATIONS MANAGER,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1598764086,"RIESBECK FOOD MARKETS, INC.",104 PLAZA DR,,ST. CLAIRSVILLE,OH,43950,7406950274,PRESIDENT & CHIEF EXECUTIVE OFFICER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1225037617,"RIESBECK FOOD MARKETS, INC.",2200 JUNE PKWY,,SOUTH ZANESVILLE,OH,437016377,7404507859,PRESIDENT AND CHIEF EXECUTIVE OFFIC,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1588663074,"RIESBECK FOOD MARKETS, INC.",55 S 23RD ST,,CAMBRIDGE,OH,437252180,7404323810,PRES. & CEO,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1588663793,DAVID PHARMACY LLC,1518 E MAIN ST,,LANCASTER,OH,431303435,7403040746,OWNER/MANAGER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1265432082,SEELEY MEDICAL OXYGEN CO OF ANDOVER,1135 W WESTERN RESERVE RD,,POLAND,OH,445143592,3306297345,FINANCIAL OPERATIONS MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1437159068,SCHAEPER PHARMACY INC,4187 HAMILTON AVE,,CINCINNATI,OH,452232245,5135410354,PHARMACY MANAGER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1174524797,"MODERN MEDICAL, INC.",250 PROGRESSIVE WAY,SUITE 100,WESTERVILLE,OH,430829615,8005473330,GENERAL COUNSEL,333600000X,tier_2_secondary_pharmacy,N,Y,
1518968668,DRUG STORE PHARMACY INC,2940 GROVEPORT RD,,COLUMBUS,OH,432073255,6144913446,PHARMACY MANAGER,3336C0004X|3336C0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1083607923,MEDICINE SHOPPE 1088 LLC,345 N SANDUSKY AVE,,BUCYRUS,OH,448201806,4195624222,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1598758211,JONES HEALTH CARE INC,253 E MAIN ST,,JACKSON,OH,456401744,7402863424,PRESIDENT AND PHARMACIST,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1649263278,RBK CO,403 CLEVELAND ST,,ELYRIA,OH,440356143,4403669670,PRES,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1508850926,"AMERIMED, LLC",9961 CINCINNATI DAYTON RD,,WEST CHESTER,OH,450693823,5139423670,"VP, FINANCE/CFO",3336H0001X,tier_2_secondary_pharmacy,N,Y,
1942294509,DONALD D MOORE PHARMACY INC,4486 W 8TH ST,,CINCINNATI,OH,452384926,5139210020,PRES.,333600000X,tier_1_primary_pharmacy,Y,Y,
1437143021,RBK CO,3202 OBERLIN AVE,,LORAIN,OH,440532752,4402824044,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1326033523,RINGERS DRUG STORE INC DBA RINGERS PROF PHARMACY,442 W HIGH ST,,BRYAN,OH,435061681,4196367314,V PRES,333600000X,tier_1_primary_pharmacy,Y,Y,
1316932551,RINGERS DRUG STORE INC DBA RINGERS DRUG STORE,125 S MAIN ST,,BRYAN,OH,435061754,4196361355,V PRES,333600000X,tier_1_primary_pharmacy,Y,Y,
1407842107,ROSS PARK PHARMACY INC,1 ROSS PARK BLVD,SUITE 100,STEUBENVILLE,OH,439522671,7402647740,MANAGER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1942297619,WARMAN'S PRESCRIPTION SERVICE,1220 GAY ST,,PORTSMOUTH,OH,456623460,7403547979,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1861489296,ZELLNER PHARMACY INC,240 W MARKET ST,,TIFFIN,OH,448832701,4194470077,PRES,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1346237146,"CROSBY'S DRUGS, INC.",2609 N HIGH ST,,COLUMBUS,OH,432022555,6142639424,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1588652135,"DECARIA BROTHERS, INC",104 E FIFTH ST,,EAST LIVERPOOL,OH,439203031,3303850825,PHARMACIST/ OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1316935976,DECARIA BROTHERS INC,104 E 5TH ST # 2,,E LIVERPOOL,OH,439203031,3303856339,DIR OF CLINICAL SVCS,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1326036039,"PHARMCO MANAGEMENT, LLC",4254 ERIE SW,,NAVARRE,OH,44662,3308795626,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1609864289,DECARIA BROTHERS INC,4201 SUNSET BLVD,,STEUBENVILLE,OH,439523617,7402645711,PHARMACIST/OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1699763276,DECARIA BROTHERS INC,503 CADIZ RD,,WINTERSVILLE,OH,439534126,7402646500,OWNER/PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1073501144,RONCI FAMILY DISCOUNT DRUG,2249 LISBON ST,,EAST LIVERPOOL,OH,43920,3303865521,OWNER RPH,3336C0003X,tier_1_primary_pharmacy,Y,Y,
