npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1700889524,"BARRON CHAGRIN DRUG, INC.",23632 MERCANTILE RD,STE F,BEACHWOOD,OH,441225916,2163600500,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1568465060,KAUP PHARMACY INC,102 NORTH WAYNE STREET,,FT RECOVERY,OH,458460605,4193752323,PRESIDENT,333600000X|3336C0004X|3336H0001X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1972506582,"WEYRAUCH'S PHARMACY, LLC",4959 KIDRON RD,,KIDRON,OH,446360231,3308570115,MANAGING MEMBER,333600000X,tier_1_primary_pharmacy,Y,Y,
1326041898,HEALTHMED PHARMACY,2343 CLEVELAND AVE,,COLUMBUS,OH,432111611,6142635052,MANAGER,333600000X,tier_2_secondary_pharmacy,N,Y,
1134122609,"HEALTHMED PHARMACY WEST,LLC",2800 W BROAD ST,,COLUMBUS,OH,432042641,6142768500,MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1144224049,"DAVIES PHARMACY, INC",2915 TUSCARAWAS ST W,,CANTON,OH,447084607,3304545151,OWNER PHARMACIST,3336C0004X|333600000X,tier_1_primary_pharmacy,Y,Y,
1942204581,CENTER PHARMACY INC,447 MAIN ST,,WELLSVILLE,OH,439681685,3305321555,OWNER AND PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1265436661,"HILLCREST ATRIUM PHARMACY, INC",6770 MAYFIELD RD,,MAYFIELD HTS,OH,441242299,4406051611,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1023014255,CORNELLS PHARMACY LLC,140 MANSFIELD AVE,,SHELBY,OH,448751833,4193472033,MANAGER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1205833316,ACCUSCRIPTS PHARMACY LLC,24340 SPERRY DR,,WESTLAKE,OH,441451565,4402505400,PRESIDENT,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1285631069,"FORUM HEALTH PHARMACY SERVICES CO., INC.",1915 BELMONT AVE,SUITE 4,YOUNGSTOWN,OH,445041132,3308842190,COO,333600000X,tier_2_secondary_pharmacy,N,Y,
1821096314,"FOSTERS PHARMACY, INC.",207 W HIGH ST,,MOUNT VERNON,OH,430502427,7403920911,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1588663793,DAVID PHARMACY LLC,1518 E MAIN ST,,LANCASTER,OH,431303435,7403040746,OWNER/MANAGER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1437159068,SCHAEPER PHARMACY INC,4187 HAMILTON AVE,,CINCINNATI,OH,452232245,5135410354,PHARMACY MANAGER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1518968668,DRUG STORE PHARMACY INC,2940 GROVEPORT RD,,COLUMBUS,OH,432073255,6144913446,PHARMACY MANAGER,3336C0004X|3336C0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1942294509,DONALD D MOORE PHARMACY INC,4486 W 8TH ST,,CINCINNATI,OH,452384926,5139210020,PRES.,333600000X,tier_1_primary_pharmacy,Y,Y,
1326033523,RINGERS DRUG STORE INC DBA RINGERS PROF PHARMACY,442 W HIGH ST,,BRYAN,OH,435061681,4196367314,V PRES,333600000X,tier_1_primary_pharmacy,Y,Y,
1316932551,RINGERS DRUG STORE INC DBA RINGERS DRUG STORE,125 S MAIN ST,,BRYAN,OH,435061754,4196361355,V PRES,333600000X,tier_1_primary_pharmacy,Y,Y,
1407842107,ROSS PARK PHARMACY INC,1 ROSS PARK BLVD,SUITE 100,STEUBENVILLE,OH,439522671,7402647740,MANAGER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1861489296,ZELLNER PHARMACY INC,240 W MARKET ST,,TIFFIN,OH,448832701,4194470077,PRES,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1073501144,RONCI FAMILY DISCOUNT DRUG,2249 LISBON ST,,EAST LIVERPOOL,OH,43920,3303865521,OWNER RPH,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1760471577,KRATZER PHARMACY INC.,179 W LOCUST ST,,WILMINGTON,OH,451772180,9373820081,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1417946062,CENTRAL MEDICAL ARTS PHARMACY,2475 E 22ND ST,,CLEVELAND,OH,441153221,2166219073,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1932190923,DANVILLE PHARMACY INC,10 E. MAIN ST.,,DANVILLE,OH,430140070,7405996744,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1518958347,GREENS PHARMACY INC,200 MADISON ST,,PORT CLINTON,OH,434521947,4197323151,PRESIDENT/PHARMACIST,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1619958592,OKULEYS PHARMACY AND HOME MEDICAL INC,1201 E 2ND ST,,DEFIANCE,OH,435122405,4197844800,OWNER AND TREASURER,333600000X|3336C0003X|3336C0004X,tier_1_primary_pharmacy,Y,Y,
1407839855,BERNENS CONVALESCENT PHARMACY INC,5053 GLENWAY AVE,,CINCINNATI,OH,452383903,5134717575,OWNER VICE PRESIDENT,3336C0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1689659369,FAMILY PHARMACY,124 S MAIN ST,,BELLEFONTAINE,OH,433112052,9375922826,OWNER PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1659356509,NEIDIG PHARMACY GROUP LLC,130 1/2 W HIGH AVE,,NEW PHILADELPHIA,OH,446633802,3303651526,PRESIDENT/CEO,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1962488155,"ALLEN'S MEDICAL PHARMACY, INC.",215 OLD EASTERN AVE,,CHILLICOTHE,OH,456013462,7407725180,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1144207770,STARK PHARMACY,1583 GOODMAN AVE,,CINCINNATI,OH,452241004,5137293800,PHARMACIST OWNER,3336C0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1396719076,ABSOLUTE PHARMACY INC,7167 KECK PARK CIR NW,,NORTH CANTON,OH,447206301,3304988123,"VP, BILLING",333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1013982446,WESTSIDE PHARMACY INC,970 W WOOSTER ST,SUITE #121,BOWLING GREEN,OH,434022643,4193526423,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1710954631,HERITAGE PHARMACY INC,3675 DOLSON CT,,CARROLL,OH,431129721,7406530942,SECRETARY,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1144297342,HEALTH QUEST COMPOUNDING PHARMACY INC,14895 N STATE AVE,UNIT D PO,MIDDLEFIELD,OH,44062,4406320111,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1790754653,KLASS APOTHECARY INC,1831 E MAIN ST,,OTTAWA,OH,458751649,4195236122,"OWNER,PIC,AO",3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1417926262,KLASS APOTHECARY INC,105 DR THATYE DRIVE,,GLANDORF,OH,45848,4195387120,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1356305585,WEARSCH PHARMACY INC,11 E MAIN ST,,CANFIELD,OH,444061318,3302860226,PRESIDENT,333600000X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1952351637,IHS PHARMACY AND WELLNESS CTR LLC,77 S CENTRAL AVE,,FAIRBORN,OH,453244716,9374820328,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1891741690,WHITE OAK PHARMACY LLC,8465 STATE ROUTE 339,,VINCENT,OH,457845647,7406782384,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1457399131,DBA EAST MAIN STREET PHARMACY,1336 E MAIN ST,,COLUMBUS,OH,432052081,6142521998,OWNER AND CHIEF PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1790726206,JEFF'S FAMILY PHARMACY,101 W PIKE ST,,MORROW,OH,451521107,5138994074,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1952343303,MEDSMART CO OP PHARMACY,8044 E MARKET ST,,WARREN,OH,444842258,3308566780,STORE MANAGER,3336C0003X|3336M0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1730122904,AULTMAN PHARMACY INC,8100 CLEVELAND AVE NW,,NORTH CANTON,OH,447205664,3309660548,PHARMACY MANAGER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1447293717,CONKLING'S PHARMACY,112 E MAIN ST,,PANDORA,OH,458778706,4193843303,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1609810910,WADSWORTH COMPOUNDING APOTHECARY,1197 HIGH ST,,WADSWORTH,OH,442818282,3303354125,OWNER,3336S0011X|333600000X,tier_1_primary_pharmacy,Y,Y,
1265477277,DISCOUNT DRUG MART INC,845 HILL RD N,,PICKERINGTON,OH,431478884,6149203330,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1174568182,DISCOUNT DRUG MART INC,5298 DETROIT RD,,SHEFFIELD VILLAGE,OH,440351439,4409343840,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1083659098,DISCOUNT DRUG MART INC,219 MANSFIELD AVE,,SHELBY,OH,448751861,4193478055,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1891730800,DISCOUNT DRUG MART INC,5599 N HAMILTON RD,,COLUMBUS,OH,432301321,6144720972,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1700821717,DISCOUNT DRUG MART INC,5378 ROBERTS RD,,HILLIARD,OH,430269753,6148508170,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1619912623,DISCOUNT DRUG MART INC,6172 TYLERSVILLE RD,,MASON,OH,450401224,5137541361,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1528003530,DISCOUNT DRUG MART INC,33382 WALKER RD,,AVON LAKE,OH,440121480,4409332327,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1437194446,DISCOUNT DRUG MART INC,15412 DETROIT AVE,,LAKEWOOD,OH,441073830,2162260600,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1346285350,DISCOUNT DRUG MART INC,2253 COLORADO AVE,,LORAIN,OH,440523289,4402880191,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1053356063,DISCOUNT DRUG MART INC,238 2ND ST NW,,NEW PHILADELPHIA,OH,446633747,3303396040,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1962447979,DISCOUNT DRUG MART INC,8191 COLUMBIA RD,,OLMSTED FALLS,OH,441382023,4402358787,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1871538884,DISCOUNT DRUG MART INC,725 E 200TH ST,,EUCLID,OH,441192501,2165311700,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1780629790,DISCOUNT DRUG MART INC,4044 FISHCREEK RD,,STOW,OH,442245402,3306886140,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1598700502,DISCOUNT DRUG MART INC,12575 CHILLICOTHE RD,,CHESTERLAND,OH,440262501,4407292400,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1407891419,DISCOUNT DRUG MART INC,6476 YORK RD,,PARMA HEIGHTS,OH,441303067,4408456800,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1588609598,DISCOUNT DRUG MART INC,1155 E WYANDOT AVE,,UPPER SANDUSKY,OH,433519630,4192945900,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1396780300,DISCOUNT DRUG MART INC,240 W CENTRAL AVE,,SPRINGBORO,OH,450661189,9377483000,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1205871217,DISCOUNT DRUG MART INC,1763 E MAIN ST,,KENT,OH,442402896,3306783001,PHARMACY COORDINATOR,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
