npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1508869694,I V SOLUTIONS INC,162 N MAIN ST,,OLD FORGE,PA,185181726,5704579201,PRESIDENT AND CEO,3336S0011X|3336H0001X,tier_1_primary_pharmacy,Y,Y,
1477556363,SOVEREIGN COVENANT PHARMACY LLC,145 N ANTRIM WAY,,GREENCASTLE,PA,172251403,7175972426,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1861495772,VEDASHRI LLC,931 MAIN ST,,PENNSBURG,PA,180731603,2156799700,OWNER,3336C0004X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1366445827,WALTERS PHARMACY INC,401 N 17TH ST,SUITE 102,ALLENTOWN,PA,181045034,6104354706,OWNER,333600000X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1336142835,PHILADELPHIA PHARMACY INC,101-03 E LEHIGH AVE,,PHILADELPHIA,PA,19125,2154252800,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1487657839,"TEL-DRUG OF PENNSYLVANIA, L.L.C.",206 WELSH RD,,HORSHAM,PA,190442208,2157065124,CLINICAL PHARMACY MANAGER,3336M0002X,tier_1_primary_pharmacy,Y,Y,
1033111208,ALLEGHENY HEALTH NETWORK HOME INFUSION LLC,1305 S MAIN ST,,MEADVILLE,PA,163353036,8556932286,PRESIDENT,333600000X,tier_2_secondary_pharmacy,N,Y,
1376547398,ALLENS PHARMACY INC,402 PRESCOTT AVE,,SCRANTON,PA,185102399,5703428219,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1417951328,LIBRARY PHARMACY INC.,4080 WASHINGTON RD,STE 106,MC MURRAY,PA,153172561,7249412522,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1538163571,SHADELAND PHARMACY,403 SHADELAND AVE,,DREXEL HILL,PA,190261437,6102591233,OWNER - CHEIF PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1619971660,CHESTNUT HILL DISCOUNT PHARMACY INC,553 GERMANTOWN PIKE,,LAFAYETTE HILL,PA,194441809,6108285222,PIC,333600000X,tier_1_primary_pharmacy,Y,Y,
1467456236,LIBRARY PHARMACY INC.,2850 BROWNSVILLE ROAD,,SOUTH PARK,PA,15129,4128354552,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1306840921,LIBRARY PHARMACY INC.,1045 ROUTE 519,STE 2,EIGHTY FOUR,PA,153302813,7242222512,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1720082340,"BROAD & LEHIGH PHARMACY, INC",1300 W LEHIGH AVE,SUITE 102,PHILADELPHIA,PA,191322701,2152289007,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1649274168,GLEN CENTER PHARMACY,1969 NORRISTOWN RD,,MAPLE GLEN,PA,190022921,2156432880,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1891799326,BIRDSBORO PHARMACY INC,200 W 1ST ST STE 3,,BIRDSBORO,PA,195082254,6105824005,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1144224585,GKF INC,33 E SIMPSON ST,,MECHANICSBURG,PA,170553816,7176970551,"PHARMACIST,OWNER",3336C0003X,tier_1_primary_pharmacy,Y,Y,
1497759971,TOTAL HOME HEALTH CARE INC,437 MAIN ST,,STROUDSBURG,PA,183602597,5704211110,OWNER/PRESIDENT,3336C0004X|333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1083619415,"BLOSS PHARMACY, INC.",2 RIVERSIDE PLAZA,,BLOSSBURG,PA,169121137,5706382820,OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1811992142,NYKA LLC,920 N CHARLOTTE ST,,POTTSTOWN,PA,194643959,6103232115,PHARMACIST/OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1649275835,"REDNER'S MARKETS, INC.",3 GOLD STAR PLZ,,SHENANDOAH,PA,179762530,5704629651,PHARMACY MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1811992001,3JB LLC,2106 ROUTE 130,,HARRISON CITY,PA,156361516,7247443300,CFO,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1831194000,"WRX ENTERPRISES, INC.",239 E MAIN ST,,MIDDLEBURG,PA,178421148,5708376285,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
