npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1477556363,SOVEREIGN COVENANT PHARMACY LLC,145 N ANTRIM WAY,,GREENCASTLE,PA,172251403,7175972426,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1366445827,WALTERS PHARMACY INC,401 N 17TH ST,SUITE 102,ALLENTOWN,PA,181045034,6104354706,OWNER,333600000X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1336142835,PHILADELPHIA PHARMACY INC,101-03 E LEHIGH AVE,,PHILADELPHIA,PA,19125,2154252800,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1376547398,ALLENS PHARMACY INC,402 PRESCOTT AVE,,SCRANTON,PA,185102399,5703428219,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1417951328,LIBRARY PHARMACY INC.,4080 WASHINGTON RD,STE 106,MC MURRAY,PA,153172561,7249412522,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1538163571,SHADELAND PHARMACY,403 SHADELAND AVE,,DREXEL HILL,PA,190261437,6102591233,OWNER - CHEIF PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1619971660,CHESTNUT HILL DISCOUNT PHARMACY INC,553 GERMANTOWN PIKE,,LAFAYETTE HILL,PA,194441809,6108285222,PIC,333600000X,tier_1_primary_pharmacy,Y,Y,
1467456236,LIBRARY PHARMACY INC.,2850 BROWNSVILLE ROAD,,SOUTH PARK,PA,15129,4128354552,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1306840921,LIBRARY PHARMACY INC.,1045 ROUTE 519,STE 2,EIGHTY FOUR,PA,153302813,7242222512,VICE PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1720082340,"BROAD & LEHIGH PHARMACY, INC",1300 W LEHIGH AVE,SUITE 102,PHILADELPHIA,PA,191322701,2152289007,PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
