npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1477556363,SOVEREIGN COVENANT PHARMACY LLC,145 N ANTRIM WAY,,GREENCASTLE,PA,172251403,7175972426,OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1700889524,"BARRON CHAGRIN DRUG, INC.",23632 MERCANTILE RD,STE F,BEACHWOOD,OH,441225916,2163600500,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1366445827,WALTERS PHARMACY INC,401 N 17TH ST,SUITE 102,ALLENTOWN,PA,181045034,6104354706,OWNER,333600000X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1568465060,KAUP PHARMACY INC,102 NORTH WAYNE STREET,,FT RECOVERY,OH,458460605,4193752323,PRESIDENT,333600000X|3336C0004X|3336H0001X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1659374379,"PECOS STREET PHARMACY, INC.",2102 PECOS ST,STE 13,SAN ANGELO,TX,769013061,3259495381,PRESIDENT,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1336142835,PHILADELPHIA PHARMACY INC,101-03 E LEHIGH AVE,,PHILADELPHIA,PA,19125,2154252800,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1972506582,"WEYRAUCH'S PHARMACY, LLC",4959 KIDRON RD,,KIDRON,OH,446360231,3308570115,MANAGING MEMBER,333600000X,tier_1_primary_pharmacy,Y,Y,
1275536864,CALJEB PHARMACY CORP,747 MONTAUK HIGHWAY,,PATCHOGUE,NY,11772,6316542444,CEO,333600000X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1326041898,HEALTHMED PHARMACY,2343 CLEVELAND AVE,,COLUMBUS,OH,432111611,6142635052,MANAGER,333600000X,tier_2_secondary_pharmacy,N,Y,
1134122609,"HEALTHMED PHARMACY WEST,LLC",2800 W BROAD ST,,COLUMBUS,OH,432042641,6142768500,MANAGER,333600000X,tier_1_primary_pharmacy,Y,Y,
1376546937,"LOS EBANOS PHARMACY,LLC",1134 E LOS EBANOS BLVD,,BROWNSVILLE,TX,785208730,9565428542,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1376546820,CRESETTI DRUG CORP,454 5TH AVE,,BROOKLYN,NY,112154003,7187680600,PHARMACIST,3336L0003X|333600000X,tier_1_primary_pharmacy,Y,Y,
1821091372,TOMASSETTI DRUG CORP,120 7TH AVE,,BROOKLYN,NY,112151372,7188571600,PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
