npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1093718025,YODORINCMISSIONPLAZAPHARMACY,RR 8 BOX 3311,,MISSION,TX,785748606,9565830044,VPSECRETARY,333600000X,tier_1_primary_pharmacy,Y,Y,
1740283811,BEST MED INC,116 S PARK DR,,BROWNWOOD,TX,768015918,3256469414,BUSINESS ADMIN,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1497758361,ACCURATE MEDICAL EQUIPMENT & SUPPLY CO INC,550 HEMPHILL ST,,FORT WORTH,TX,761042252,8178821111,PRESIDENT CEO,333600000X,tier_1_primary_pharmacy,Y,Y,
1659374379,"PECOS STREET PHARMACY, INC.",2102 PECOS ST,STE 13,SAN ANGELO,TX,769013061,3259495381,PRESIDENT,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1376546937,"LOS EBANOS PHARMACY,LLC",1134 E LOS EBANOS BLVD,,BROWNSVILLE,TX,785208730,9565428542,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1942202239,"UNITED SUPERMARKETS, L.L.C.",7830 ORLANDO AVE,,LUBBOCK,TX,794231942,8067910220,DIRECTOR PHARMACY SERVICES,333600000X,tier_1_primary_pharmacy,Y,Y,
1346244381,SIGMA GLOBAL CORPORATION,4343 W ROYAL LN,STE 118,IRVING,TX,750632299,9729153960,CFO,333600000X,tier_1_primary_pharmacy,Y,Y,
1639173321,HARVEST DRUG & GIFT LP,4426 KELL BLVD,,WICHITA FALLS,TX,763094719,9406927081,PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1427052000,DEKALB PHARMACY LLC,120 W FRONT ST,,DE KALB,TX,755591308,9036670880,CO-OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1932104957,TOWER MEDIC PHARMACY INC,607 W MAGNOLIA AVE,,FT WORTH,TX,761044608,8173368133,CEO,333600000X|3336C0004X|3336L0003X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1477558187,"GLOYER'S PHARMACY, INC.",1010 W MAIN ST,,TOMBALL,TX,77375,2813515454,OWNER/PHARMACY MANAGER,3336C0003X|3336L0003X|3336C0004X|333600000X,tier_1_primary_pharmacy,Y,Y,
1609871441,"MIDLAND PHARMACY, LLC",3510 N. MIDKIFF RD STE 100,,MIDLAND,TX,797054834,4326977500,MANAGING MEMBER,333600000X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1487650941,"STRAIN & STRAIN, LLC",602 S MORGAN ST,,GRANBURY,TX,760481962,8175731644,ADMIN MANAGER,333600000X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1659377984,RX.COM PHARMACY,401 S JIM WRIGHT FREEWAY,,FORT WORTH,TX,761082681,8175471000,PHARMACIST IN CHARGE,333600000X,tier_1_primary_pharmacy,Y,Y,
1275539678,"LOS EBANOS PHARMACY NORTH,LLC",1134 E. LOS EBANOS BLVD.,STE A,BROWNSVILLE,TX,785208797,9565428542,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1104822147,"LEONARD'S PHARMACY, INC.",710 W MARCY DR,,BIG SPRING,TX,797206581,4322671611,PHARMACIST IN CHARGE,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1346246170,STARR DME & PHARMACY INC,620 PAREDES LINE RD,STE A,BROWNSVILLE,TX,785212440,9565543560,OWNER,333600000X,tier_2_secondary_pharmacy,N,Y,
