npi,organization_name,address_1,address_2,city,state,zip,phone,authorized_official_title,matched_taxonomy_codes,pharmacy_tier,primary_pharmacy_flag,likely_independent,chain_exclusion_match
1659374379,"PECOS STREET PHARMACY, INC.",2102 PECOS ST,STE 13,SAN ANGELO,TX,769013061,3259495381,PRESIDENT,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1376546937,"LOS EBANOS PHARMACY,LLC",1134 E LOS EBANOS BLVD,,BROWNSVILLE,TX,785208730,9565428542,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1639173321,HARVEST DRUG & GIFT LP,4426 KELL BLVD,,WICHITA FALLS,TX,763094719,9406927081,PHARMACIST,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1427052000,DEKALB PHARMACY LLC,120 W FRONT ST,,DE KALB,TX,755591308,9036670880,CO-OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1932104957,TOWER MEDIC PHARMACY INC,607 W MAGNOLIA AVE,,FT WORTH,TX,761044608,8173368133,CEO,333600000X|3336C0004X|3336L0003X|3336S0011X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1477558187,"GLOYER'S PHARMACY, INC.",1010 W MAIN ST,,TOMBALL,TX,77375,2813515454,OWNER/PHARMACY MANAGER,3336C0003X|3336L0003X|3336C0004X|333600000X,tier_1_primary_pharmacy,Y,Y,
1609871441,"MIDLAND PHARMACY, LLC",3510 N. MIDKIFF RD STE 100,,MIDLAND,TX,797054834,4326977500,MANAGING MEMBER,333600000X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1659377984,RX.COM PHARMACY,401 S JIM WRIGHT FREEWAY,,FORT WORTH,TX,761082681,8175471000,PHARMACIST IN CHARGE,333600000X,tier_1_primary_pharmacy,Y,Y,
1275539678,"LOS EBANOS PHARMACY NORTH,LLC",1134 E. LOS EBANOS BLVD.,STE A,BROWNSVILLE,TX,785208797,9565428542,OWNER,333600000X,tier_1_primary_pharmacy,Y,Y,
1104822147,"LEONARD'S PHARMACY, INC.",710 W MARCY DR,,BIG SPRING,TX,797206581,4322671611,PHARMACIST IN CHARGE,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1346246170,STARR DME & PHARMACY INC,620 PAREDES LINE RD,STE A,BROWNSVILLE,TX,785212440,9565543560,OWNER,333600000X,tier_2_secondary_pharmacy,N,Y,
1265439707,LARSONS PRESCRIPTION PHARMACY INC,502 S AVENUE F,,KNOX CITY,TX,795292110,9406573210,OWNER/PHARMACIST,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1447257951,HARREL DRUG CO,204 E KLEBERG AVE,,KINGSVILLE,TX,783634573,3615929385,PIC/OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1104823582,GARY KING PHARMACY INC,1600 COULTER DR,STE 307,AMARILLO,TX,791061718,8063584576,PRESIDENT,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1770580417,"RIDGEPOINT MEDICAL PHARMACY, LLC",404 S VETERANS BLVD STE C,,EDINBURG,TX,785394721,9563932000,C.E.O./PRESIDENT,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1902803695,ECKLAND PHARMACY INC,125 W HAGUE RD,STE 100,EL PASO,TX,799025814,9155338194,PIC / OWNER,3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1972500759,GT VAUGHANS PHARMACY LLC,200 N MAGNOLIA AVE,,HUBBARD,TX,766482446,2545762241,STORE OWNER,3336C0003X,tier_1_primary_pharmacy,Y,Y,
1447258546,BRENHAM DRUG PARTNERS LC,2105 S DAY ST,,BRENHAM,TX,778335512,9798365264,MANAGER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1841298882,BRENHAM DRUG PARTNERS LC,2103 S DAY ST,,BRENHAM,TX,778335512,9798368500,MANAGER,333600000X|3336L0003X,tier_1_primary_pharmacy,Y,Y,
1750380556,SPENCE'S MEDICAL CENTER PHARMACY,215 OAK DR S,STE M,LAKE JACKSON,TX,775665629,9792971776,RPH/OWNER,3336L0003X|3336C0004X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1598764722,FRANK'S PHARMACY,1919 S LOOP 256,,PALESTINE,TX,758015915,9037232880,OWNER/PHARMACIST,333600000X,tier_1_primary_pharmacy,Y,Y,
1275532350,"DYER DRUG STORE, INC",133 MCKINNEY ST,,FARMERSVILLE,TX,754422221,9727826262,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1235138256,DUNN PHARMACY INC.,400 WEST MAIN ST,,STOCKDALE,TX,781600609,8309963421,PRESIDENT,333600000X,tier_1_primary_pharmacy,Y,Y,
1477554210,HOLMAN PHARMACY,10000 HARWIN DR STE A,,HOUSTON,TX,770361671,7137763500,PHARMACIST IN CHARGE/OWNER,333600000X|3336C0003X,tier_1_primary_pharmacy,Y,Y,
1619978863,"EAST POINTE PHARMACY SERVICES, INC",2100 N HWY 360,SUITE # 1001,GRAND PRAIRIE,TX,750501009,9726478444,ACCOUNTS COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
1437150950,"ALLIANCE PHARMACY SERVICES, INC",1223 CORPORATE DR E,SUITE # B,ARLINGTON,TX,760066107,8173850202,ACCOUNTS COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
1912908179,"PARADIGM PHARMACY SERVICES, INC",8200 NORTHEAST PKWY,SUITE # 115,NORTH RICHLAND HILLS,TX,761804006,8175038826,ACCOUNTS COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
1750382917,"ORION PHARMACY SERVICES, INC",1126 S CEDAR RIDGE DR,SUITE # 123 A,DUNCANVILLE,TX,751373021,9722831956,ACCOUNTS COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
1093716250,"PRECISION PHARMACY SERVICES, INC",1325 FM 1187,SUITE # A-113,MANSFIELD,TX,760636132,8174532855,ACCOUNTS COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
1043212848,"TRINITY PHARMACY SERVICES, INC.",2804 SE LOOP 820,BUILDING 5,FORT WORTH,TX,761401012,8175682777,ACCOUNT COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
1689676488,"TRI-PHASIC PHARMACY, INC.",1700 TECH CENTRE PKWY,SUITE #110-A1,ARLINGTON,TX,760144405,8177842400,ACCOUNT COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
1104828904,"SWS PHARMACY SERVICES, INC.",1126 S CEDAR RIDGE DR,SUITE #123,DUNCANVILLE,TX,751373021,9722831956,ACCOUNT COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
1174525075,"PREMIUM PHARMACY SERVICES, INC.",2805 W ARKANSAS LN,SUITE 303,ARLINGTON,TX,760165725,8172770405,ACCOUNTS COORDINATOR,333600000X,tier_1_primary_pharmacy,Y,Y,
